trade_date,open,high,low,close,volume,Z_close,Z_open,Z_high,Z_low
2008-02-21,4534.169,4568.208,4452.675,4527.177,6130914800,0.09088778190101865,0.0986260859677748,0.13629830166118204,0.008433672979187026
2008-02-22,4500.385,4500.385,4333.033,4370.285,6760198300,-0.09122210995617508,0.05396124331199469,0.05396124331199469,-0.13279298063984743
2008-02-25,4370.188,4391.333,4182.774,4192.533,5881193500,-0.29860218759749346,-0.09880949497671808,-0.0750296042589437,-0.30957726224940957
2008-02-26,4302.735,4331.64,4123.305,4238.179,5568663100,-0.2559995352906889,-0.18284508198155608,-0.15009011771951156,-0.3861740298292813
2008-02-27,4256.532,4360.7,4222.459,4334.047,5052499100,-0.15572989936651732,-0.24424526524295329,-0.1252944991639154,-0.2831536579605931
2008-02-28,4343.277,4344.926,4265.498,4299.513,4792225300,-0.20387443481591508,-0.15350461842046503,-0.1516067154126021,-0.24302371972340173
2008-02-29,4293.533,4364.814,4275.899,4348.543,4783538300,-0.1556294998639018,-0.21941246419537164,-0.13676360979596142,-0.239858724748383
2008-03-03,4323.698,4456.963,4279.345,4438.265,7851384000,-0.059426545086829326,-0.19324795707591366,-0.0375861131878373,-0.24505503141627227
2008-03-04,4454.18,4472.151,4321.266,4335.446,8695651500,-0.18743014013019002,-0.04779177507684801,-0.026656792187586816,-0.20410667773910088
2008-03-05,4316.25,4352.822,4210.963,4292.654,7410968000,-0.24532748846825356,-0.21740575657055505,-0.17412920211375504,-0.34199447441735314
2008-03-06,4310.354,4427.498,4260.787,4360.986,8493214500,-0.17194548413948496,-0.23223791842065253,-0.09274319331729677,-0.29126215388468035
2008-03-07,4315.808,4341.295,4265.829,4300.515,5674740200,-0.2514106254109404,-0.2330902523090165,-0.20255789441659863,-0.2929629997922494
2008-03-10,4265.611,4265.611,4120.53,4146.299,6568220500,-0.44640236889585827,-0.3022726820377052,-0.3022726820377052,-0.4775314917053643
2008-03-11,4121.653,4165.915,4063.47,4165.878,5133343900,-0.43213323517455027,-0.48595883915267934,-0.4320882030129402,-0.5567725218267222
2008-03-12,4254.673,4272.979,4068.781,4070.116,5722445800,-0.5594305484907487,-0.3329470524333673,-0.31048241073011823,-0.5610688253766788
2008-03-13,4033.319,4055.446,3902.248,3971.257,6365340000,-0.6916481890490329,-0.6148935952971097,-0.5875282365276727,-0.7769944195963321
2008-03-14,3956.746,4000.78,3891.7,3962.673,4140725700,-0.7140038429499971,-0.7213957200679261,-0.6664785753048246,-0.8025180482293629
2008-03-17,3941.258,3941.258,3812.999,3820.048,4910027300,-0.9033737929739691,-0.7510861076267706,-0.7510861076267706,-0.9122301240853659
2008-03-18,3789.565,3862.772,3607.25,3668.897,5786100100,-1.1038945223530465,-0.9513530045633296,-0.8588089424024272,-1.1818251000304973
2008-03-19,3746.047,3813.885,3677.817,3761.605,6158664300,-0.9972461570671035,-1.0170400397573898,-0.9307321972362664,-1.103846609750848
2008-03-20,3721.504,3857.62,3516.33,3804.054,7326269400,-0.9539002296453218,-1.0596224766378337,-0.8852979536622709,-1.3223899666976953
2008-03-21,3790.111,3838.058,3746.395,3796.576,6509346400,-0.9740691423805681,-0.9824029272049358,-0.9205962789491041,-1.0387555547969003
2008-03-24,3830.346,3840.479,3624.936,3626.188,5895967800,-1.2037421559197488,-0.9391081113757989,-0.9259734961593302,-1.2053650255783908
