,trade_date,open,high,low,close,volume,Z_close,Z_open,Z_high,Z_low,signal,reward
0,2018-04-03,3130.013,3144.332,3119.132,3136.633,15221667400,-1.2954330367769258,-1.3547879937532412,-1.2264037597738044,-1.452347100529569,1.0,0.0
1,2018-04-04,3147.049,3163.34,3128.867,3131.111,14697668200,-1.3352639193838822,-1.192871069784054,-1.047324457108009,-1.3553122036417544,1.0,0.0
2,2018-04-09,3125.442,3146.093,3110.303,3138.294,13960862100,-1.262521684732172,-1.376980438800926,-1.1930644934014667,-1.5118070088170246,1.0,0.0
3,2018-04-10,3144.257,3190.649,3139.081,3190.322,16820135900,-0.7960339088615849,-1.205812169875689,-0.7931250302910536,-1.2518560704294497,1.0,0.0
4,2018-04-11,3197.372,3220.845,3191.587,3208.082,17586719700,-0.6365070477451673,-0.7317245969448212,-0.5230372456503802,-0.7831562983565841,2.0,-3.637157653700873
5,2018-04-12,3203.278,3205.252,3177.049,3180.158,14823131300,-0.8829991725540928,-0.6776143415000301,-0.6600784567032847,-0.9106177469376164,2.0,-1.974178641438562
6,2018-04-13,3192.042,3197.896,3155.506,3159.052,12755231000,-1.0663711534606837,-0.7738238863485871,-0.7219120433151133,-1.0978162158789797,2.0,-2.7701031828535894
7,2018-04-16,3152.888,3153.106,3096.1,3110.649,15441569500,-1.4834258794804724,-1.1105081055735,-1.1085834370275631,-1.611875433034594,2.0,-1.3706785947241173
8,2018-04-17,3112.975,3118.76,3064.028,3066.797,14722284600,-1.8502808604725107,-1.44538737031321,-1.3946638907218096,-1.8745597394679456,2.0,2.025892160452747
9,2018-04-18,3091.91,3096.889,3041.625,3091.399,15929050300,-1.6192366593355911,-1.6147796620129455,-1.5713522849690016,-2.0533708760427904,2.0,0.8596431583241193
10,2018-04-19,3094.274,3127.439,3090.287,3117.376,16005680500,-1.382102700055669,-1.5828313634998692,-1.2946673031099982,-1.617473610108476,2.0,-1.358386027222891
11,2018-04-20,3105.462,3111.171,3065.921,3071.543,15514709100,-1.7618413002937423,-1.4689542783325031,-1.419657659671084,-1.8103866830428264,2.0,0.3480009884282875
12,2018-04-23,3063.443,3085.057,3045.937,3068.012,13168634000,-1.774007164209995,-1.813210913206215,-1.627754614058854,-1.9634190178085016,2.0,0.4291052316614197
13,2018-04-24,3069.746,3136.04,3069.746,3128.927,16227480600,-1.2424734224263017,-1.7486986932254829,-1.181629902526427,-1.7486986932254829,2.0,-0.8970487326805721
14,2018-04-25,3112.398,3122.908,3107.001,3117.974,12731105300,-1.327268677970019,-1.3748020896225313,-1.285208087386539,-1.420809590104706,2.0,-0.8640546713988062
15,2018-04-26,3119.496,3121.933,3067.929,3075.03,13397273600,-1.6794698695445645,-1.302412057203051,-1.2817470572328211,-1.7396841349481793,2.0,2.00372028890774
16,2018-04-27,3082.415,3088.035,3049.914,3082.232,13122564300,-1.6075299521428028,-1.6059849134058173,-1.5585361827945694,-1.880385481661367,2.0,2.5717077754043194
17,2018-05-02,3087.409,3097.604,3064.763,3081.177,13418456600,-1.6074621641654523,-1.5550413049302454,-1.4692854224041023,-1.7455295556106871,2.0,2.530623849262792
18,2018-05-03,3074.517,3105.66,3056.157,3100.859,13998562000,-1.4356220736398215,-1.6565982740866174,-1.39534773082815,-1.810615548409109,2.0,2.3720523893540513
19,2018-05-04,3093.117,3104.093,3086.785,3091.033,11871126500,-1.510464526095576,-1.4930383650354817,-1.4012583536172651,-1.5459857987363017,2.0,2.3367592646212465
20,2018-05-07,3094.899,3136.836,3091.658,3136.645,13894818600,-1.1296087475462315,-1.4787797701987595,-1.128011189329239,-1.5058880748127783,2.0,1.191942346041719
21,2018-05-08,3135.296,3169.701,3134.062,3161.498,14692706100,-0.9234856884942126,-1.142847720436921,-0.8548105206434373,-1.153178716063869,2.0,0.9685282103610415
22,2018-05-09,3160.138,3165.373,3145.657,3159.15,12263726800,-0.944339363558972,-0.9360627137341302,-0.89220819770877,-1.057372598464448,2.0,0.3296772866119069
23,2018-05-10,3169.05,3176.138,3155.533,3174.413,13300075600,-0.8177695565069175,-0.8627267070896706,-0.8033091640483594,-0.97603750411132,2.0,-0.6341329877366353
24,2018-05-11,3179.797,3180.756,3162.212,3163.263,13065974900,-0.9117727233184476,-0.7731331548412564,-0.7650918250862303,-0.9205854840822988,2.0,0.9496523052303862
25,2018-05-14,3167.042,3183.816,3163.476,3174.032,12932735300,-0.8232740693743209,-0.8819424829707313,-0.741155076723786,-0.9118726064163366,2.0,1.2541776516430847
